timestamp,source,destination
0,0,6
0,0,7
0,0,23
0,0,31
0,0,74
0,0,81
0,0,88
0,0,98
0,1,9
0,1,20
0,1,37
0,1,41
0,1,45
0,1,47
0,1,56
0,1,57
0,1,67
0,1,70
0,1,82
0,1,86
0,1,92
0,2,11
0,2,19
0,2,31
0,2,36
0,2,53
0,2,57
0,2,67
0,2,68
0,2,70
0,2,72
0,2,97
0,3,31
0,3,50
0,3,66
0,3,67
0,3,71
0,3,80
0,3,85
0,4,10
0,4,16
0,4,18
0,4,20
0,4,26
0,4,61
0,4,74
0,4,75
0,4,98
0,5,30
0,5,40
0,5,57
0,5,65
0,5,86
0,5,92
0,5,94
0,6,21
0,6,31
0,6,34
0,6,50
0,6,54
0,6,57
0,6,62
0,7,11
0,7,18
0,7,23
0,7,28
0,7,40
0,7,47
0,7,79
0,7,80
0,7,99
0,8,23
0,8,26
0,8,29
0,8,36
0,8,43
0,8,87
0,8,97
0,9,24
0,9,26
0,9,30
0,9,36
0,9,47
0,9,62
0,9,63
0,9,78
0,9,88
0,9,97
0,10,34
0,10,43
0,10,44
0,10,56
0,10,57
0,10,60
0,10,62
0,10,68
0,10,94
0,10,99
0,11,20
0,11,26
0,11,28
0,11,48
0,11,50
0,11,57
0,11,81
0,11,82
0,11,84
0,11,95
0,12,14
0,12,22
0,12,24
0,12,52
0,12,56
0,12,59
0,12,93
0,13,19
0,13,23
0,13,24
0,13,43
0,13,46
0,13,47
0,13,61
0,13,82
0,14,16
0,14,54
0,14,72
0,14,81
0,15,32
0,15,36
0,15,47
0,15,49
0,15,50
0,15,65
0,15,69
0,15,78
0,15,86
0,15,94
0,16,41
0,16,47
0,16,60
0,16,74
0,16,88
0,16,92
0,17,28
0,17,35
0,17,39
0,17,76
0,17,82
0,18,23
0,18,27
0,18,31
0,18,49
0,18,54
0,18,66
0,18,82
0,18,85
0,18,93
0,19,32
0,19,33
0,19,47
0,19,48
0,19,50
0,19,60
0,19,77
0,19,79
0,19,81
0,19,85
0,19,86
0,20,53
0,20,59
0,20,60
0,21,33
0,21,45
0,21,47
0,21,58
0,21,64
0,21,66
0,21,72
0,21,76
0,21,92
0,22,24
0,22,25
0,22,31
0,22,62
0,22,90
0,23,40
0,23,43
0,23,62
0,23,69
0,23,82
0,23,89
0,24,37
0,24,38
0,24,48
0,24,51
0,24,55
0,24,63
0,24,66
0,24,73
0,24,82
0,24,93
0,24,94
0,24,96
0,24,99
0,25,27
0,25,51
0,25,54
0,25,56
0,25,73
0,25,78
0,25,86
0,26,68
0,26,74
0,26,76
0,26,89
0,26,90
0,26,97
0,26,99
0,27,39
0,27,40
0,27,41
0,27,61
0,27,70
0,28,29
0,28,43
0,28,49
0,28,64
0,28,82
0,28,83
0,28,94
0,29,63
0,29,82
0,29,90
0,30,32
0,30,39
0,30,40
0,30,45
0,30,68
0,30,97
0,30,98
0,31,38
0,31,41
0,31,42
0,31,59
0,31,76
0,32,41
0,32,61
0,32,76
0,32,82
0,32,87
0,32,94
0,33,39
0,33,50
0,33,58
0,33,75
0,33,78
0,33,91
0,33,92
0,33,93
0,34,42
0,34,71
0,35,49
0,35,57
0,35,63
0,35,66
0,35,67
0,35,75
0,35,79
0,35,87
0,36,38
0,36,50
0,36,66
0,36,69
0,36,82
0,37,39
0,37,42
0,37,46
0,37,87
0,38,47
0,38,61
0,38,78
0,38,88
0,39,46
0,39,52
0,39,58
0,39,82
0,40,44
0,40,47
0,40,52
0,40,59
0,40,64
0,40,75
0,40,81
0,40,98
0,41,45
0,41,50
0,41,58
0,41,75
0,41,82
0,41,90
0,41,96
0,42,43
0,42,55
0,42,58
0,42,70
0,42,77
0,43,97
0,43,98
0,44,57
0,44,79
0,44,83
0,44,89
0,44,93
0,46,61
0,46,68
0,46,70
0,46,80
0,46,88
0,46,97
0,47,50
0,47,52
0,47,54
0,47,55
0,47,65
0,47,67
0,47,69
0,47,76
0,47,79
0,47,81
0,47,88
0,48,50
0,48,57
0,48,58
0,48,74
0,48,79
0,48,83
0,48,98
0,49,53
0,49,70
0,49,74
0,49,90
0,49,97
0,50,72
0,50,77
0,50,79
0,50,89
0,51,53
0,51,56
0,51,63
0,51,77
0,51,81
0,51,90
0,52,61
0,52,71
0,52,80
0,52,84
0,52,98
0,53,58
0,53,77
0,53,91
0,54,60
0,54,64
0,54,79
0,54,96
0,55,58
0,55,77
0,55,81
0,55,87
0,55,95
0,55,99
0,56,72
0,56,75
0,56,81
0,56,82
0,56,88
0,56,99
0,57,59
0,57,63
0,57,67
0,57,95
0,57,97
0,57,99
0,58,60
0,58,64
0,58,72
0,58,87
0,58,99
0,59,73
0,59,75
0,59,79
0,59,99
0,61,63
0,61,66
0,61,77
0,61,79
0,61,84
0,61,89
0,61,94
0,62,65
0,62,67
0,62,82
0,62,86
0,62,96
0,63,67
0,63,86
0,63,89
0,63,96
0,63,97
0,64,96
0,65,89
0,67,82
0,67,99
0,68,69
0,68,70
0,68,87
0,69,91
0,69,95
0,70,80
0,70,97
0,71,73
0,71,82
0,71,83
0,71,86
0,72,87
0,72,90
0,72,95
0,73,93
0,73,95
0,74,78
0,74,81
0,74,84
0,74,98
0,75,95
0,77,82
0,77,94
0,78,79
0,78,82
0,78,94
0,79,85
0,79,93
0,80,94
0,80,97
0,81,97
0,82,83
0,82,97
0,84,92
0,84,99
0,86,90
0,90,94
0,91,99
0,92,97
0,98,99
1,0,13
1,0,29
1,0,31
1,0,52
1,0,57
1,0,59
1,0,60
1,0,61
1,0,73
1,0,84
1,0,94
1,0,96
1,0,97
1,1,6
1,1,13
1,1,79
1,1,96
1,1,97
1,2,9
1,2,13
1,2,17
1,2,22
1,2,49
1,2,65
1,2,75
1,2,84
1,3,13
1,3,29
1,3,32
1,3,42
1,3,44
1,3,52
1,3,61
1,3,63
1,3,66
1,3,68
1,3,73
1,3,75
1,3,81
1,3,83
1,3,85
1,3,91
1,3,98
1,4,6
1,4,14
1,4,24
1,4,26
1,4,29
1,4,40
1,4,42
1,4,70
1,4,84
1,4,97
1,4,99
1,5,11
1,5,16
1,5,20
1,5,22
1,5,43
1,5,44
1,5,62
1,5,68
1,5,70
1,5,73
1,5,77
1,5,83
1,5,92
1,5,98
1,6,9
1,6,11
1,6,13
1,6,52
1,6,53
1,6,69
1,6,77
1,6,80
1,6,84
1,6,96
1,6,97
1,7,33
1,7,53
1,7,65
1,7,66
1,7,89
1,8,26
1,8,31
1,8,34
1,8,48
1,8,56
1,8,70
1,8,79
1,8,81
1,8,87
1,8,88
1,8,90
1,8,93
1,8,97
1,9,11
1,9,15
1,9,18
1,9,22
1,9,29
1,9,54
1,9,72
1,9,75
1,9,76
1,9,85
1,9,88
1,10,15
1,10,39
1,10,56
1,10,62
1,10,75
1,10,79
1,10,88
1,11,19
1,11,22
1,11,29
1,11,69
1,11,78
1,11,80
1,11,89
1,11,98
1,12,28
1,12,29
1,12,43
1,12,57
1,12,65
1,12,74
1,13,14
1,13,33
1,13,38
1,13,40
1,13,46
1,13,62
1,13,88
1,13,89
1,13,91
1,13,92
1,13,94
1,13,95
1,13,97
1,13,98
1,14,17
1,14,22
1,14,62
1,14,70
1,14,83
1,14,91
1,14,94
1,14,98
1,15,19
1,15,28
1,15,48
1,15,59
1,15,67
1,15,84
1,15,95
1,15,99
1,16,18
1,16,28
1,16,36
1,16,45
1,16,47
1,16,49
1,16,76
1,16,78
1,16,80
1,17,27
1,17,28
1,17,32
1,17,38
1,17,53
1,17,61
1,17,85
1,17,96
1,17,99
1,18,20
1,18,22
1,18,27
1,18,37
1,18,62
1,18,73
1,18,74
1,18,83
1,18,88
1,18,94
1,18,95
1,19,23
1,19,32
1,19,56
1,19,62
1,19,65
1,19,80
1,19,86
1,19,97
1,20,21
1,20,29
1,20,50
1,20,61
1,20,64
1,20,65
1,20,85
1,20,94
1,21,39
1,21,63
1,21,76
1,21,89
1,21,91
1,22,28
1,22,30
1,22,32
1,22,34
1,22,36
1,22,47
1,22,59
1,22,65
1,22,69
1,22,89
1,22,95
1,22,98
1,23,26
1,23,58
1,23,75
1,23,83
1,24,27
1,24,30
1,24,33
1,24,56
1,24,72
1,24,74
1,24,77
1,24,82
1,24,88
1,24,90
1,24,94
1,25,45
1,25,48
1,25,59
1,25,64
1,25,69
1,25,76
1,26,34
1,26,72
1,26,83
1,26,97
1,27,31
1,27,40
1,27,46
1,27,57
1,27,71
1,27,90
1,27,92
